Country Code,year,birth_rate_crude_per_1000
IRQ,2004,34.344
IRL,2004,15.2
IMN,2004,11.543
ISR,2004,21.3
ITA,2004,9.7
JAM,2004,18.795
JPN,2004,8.8
JOR,2004,27.743
KAZ,2004,18.691
KEN,2004,39.1
KIR,2004,28.894
PRK,2004,14.599
KOR,2004,9.8
XKX,2004,19.519
KWT,2004,22.641
KGZ,2004,21.5
LAO,2004,30.075
LVA,2004,9.1
LBN,2004,19.347
LSO,2004,28.736
LBR,2004,41.116
LBY,2004,23.376
LIE,2004,10.8
LTU,2004,8.8
LUX,2004,11.9
MAC,2004,7.3
MDG,2004,38.976
MWI,2004,43.965
MYS,2004,18.682
MDV,2004,18.326
MLI,2004,47.774
MLT,2004,9.7
MHL,2004,37.417
MRT,2004,38.273
MUS,2004,15.7
MEX,2004,22.369
FSM,2004,28.966
MDA,2004,12.984
MCO,2004,10.855
MNG,2004,18.398
